County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude
King,Washington,328,,32,0.097561,2020-03-14 12:04 EDT,47.490118100000004,-121.8043324
Snohomish,Washington,133,,4,0.0300752,2020-03-14 12:04 EDT,47.9124,-122.09306000000001
Unassigned,Washington,65,,0,0.0,2020-03-14 12:04 EDT,47.400902,-121.490494
Pierce,Washington,19,,0,0.0,2020-03-14 12:04 EDT,47.0227081,-122.1014408
Clark,Washington,3,,0,0.0,2020-03-14 12:04 EDT,45.781873299999994,-122.48127849999999
Kittitas,Washington,3,,0,0.0,2020-03-14 12:04 EDT,46.98472,-120.41752
Kitsap,Washington,3,,0,0.0,2020-03-14 12:04 EDT,47.4749622,-122.6085325
Skagit,Washington,3,,0,0.0,2020-03-14 12:04 EDT,48.4793302,-121.72808020000001
Island,Washington,3,,0,0.0,2020-03-14 12:04 EDT,48.1916094,-122.6650075
Whatcom,Washington,2,,0,0.0,2020-03-14 12:04 EDT,48.825596999999995,-121.7174182
Yakima,Washington,2,,0,0.0,2020-03-14 12:04 EDT,46.60448,-120.50721000000001
Grant,Washington,1,,1,1.0,2020-03-14 12:04 EDT,47.1988579,-119.4525987
Jefferson,Washington,1,,0,0.0,2020-03-14 12:04 EDT,47.7481061,-123.6000095
Thurston,Washington,1,,0,0.0,2020-03-14 12:04 EDT,46.9198058,-122.82986909999998
Grays Harbor,Washington,1,,0,0.0,2020-03-14 12:04 EDT,47.1505523,-123.7737432
Columbia,Washington,1,,0,0.0,2020-03-14 12:04 EDT,46.2975768,-117.90786340000001
Westchester,New York,158,,0,0.0,2020-03-14 12:04 EDT,41.163197600000004,-73.7560629
New York,New York,154,,1,0.0064935,2020-03-14 12:04 EDT,40.71455,-74.00714
Unassigned,New York,100,,0,0.0,2020-03-14 12:04 EDT,42.165726,-74.948051
Nassau,New York,51,,0,0.0,2020-03-14 12:04 EDT,40.7416523,-73.58899620000001
Suffolk,New York,28,,0,0.0,2020-03-14 12:04 EDT,40.8773281,-72.85898040000001
Rockland,New York,9,,0,0.0,2020-03-14 12:04 EDT,41.152374,-74.0240103
Ulster,New York,5,,0,0.0,2020-03-14 12:04 EDT,41.95986,-73.99033
Albany,New York,4,,0,0.0,2020-03-14 12:04 EDT,42.65155,-73.75520999999999
Saratoga,New York,3,,0,0.0,2020-03-14 12:04 EDT,43.06974,-73.63661
Orange,New York,3,,0,0.0,2020-03-14 12:04 EDT,41.4020682,-74.30559570000001
Dutchess,New York,3,,0,0.0,2020-03-14 12:04 EDT,41.7647751,-73.7428168
Monroe,New York,2,,0,0.0,2020-03-14 12:04 EDT,43.1460428,-77.69674909999999
Delaware,New York,1,,0,0.0,2020-03-14 12:04 EDT,42.198043299999995,-74.966352
Herkimer,New York,1,,0,0.0,2020-03-14 12:04 EDT,43.0259,-74.98433
Schenectady,New York,1,,0,0.0,2020-03-14 12:04 EDT,42.81238,-73.94122
Broome,New York,1,,0,0.0,2020-03-14 12:04 EDT,42.160218,-75.8196459
Santa Clara,California,79,,2,0.0253165,2020-03-14 12:04 EDT,37.35579,-121.95508999999998
Los Angeles,California,40,,1,0.025,2020-03-14 12:04 EDT,34.053490000000004,-118.24531999999999
San Mateo,California,26,,0,0.0,2020-03-14 12:04 EDT,37.54704,-122.31485
Contra Costa,California,25,,0,0.0,2020-03-14 12:04 EDT,37.9179373,-121.9259354
San Francisco,California,23,,0,0.0,2020-03-14 12:04 EDT,37.777120000000004,-122.41963999999999
Sacramento,California,17,,1,0.0588235,2020-03-14 12:04 EDT,38.579440000000005,-121.49085
Orange,California,13,,0,0.0,2020-03-14 12:04 EDT,33.78787,-117.85071
Riverside,California,12,,0,0.0,2020-03-14 12:04 EDT,33.98171,-117.37404
Alameda,California,11,,0,0.0,2020-03-14 12:04 EDT,37.76683,-122.2453
San Diego,California,8,,0,0.0,2020-03-14 12:04 EDT,32.71568,-117.16171000000001
San Joaquin,California,8,,0,0.0,2020-03-14 12:04 EDT,37.9347956,-121.2713112
Santa Cruz,California,7,,0,0.0,2020-03-14 12:04 EDT,36.97424,-122.03098
Solano,California,6,,0,0.0,2020-03-14 12:04 EDT,38.277933600000004,-121.9272405
Ventura,California,5,,0,0.0,2020-03-14 12:04 EDT,34.28082,-119.29231999999999
Placer,California,4,,1,0.25,2020-03-14 12:04 EDT,39.059135600000005,-120.75363279999999
