,Province/Statea,Lat,Long
0,Washington,47.2868352,-120.2126139
1,California,36.7014631,-118.7559974
2,Diamond Princess,53.8953584,27.5554078
3,Georgia,33.7501687,-84.3859549
4,Florida,27.7567667,-81.4639835
5,Oregon,43.9792797,-120.737257
6,Illinois,41.8908132,-87.6277338
7,Iowa,42.070703,-90.6443905
8,North Carolina,35.6729639,-79.0392919
9,Tennessee,35.7730076,-86.2820081
10,Arizona,34.395342,-111.7632755
11,Kentucky,37.5726028,-85.1551411
12,Nevada,39.5158825,-116.8537227
13,Minnesota,45.9896587,-94.6113288
14,Ohio,41.8924345,-87.6277656
15,Wisconsin,44.4308975,-89.6884637
16,Hawaii,21.405690550000003,-157.81444575743768
17,Utah,39.4225192,-111.7143584
18,Louisiana,30.8703881,-92.007126
19,Vermont,44.5990718,-72.5002608
20,Arkansas,35.2048883,-92.4479108
21,Idaho,43.6447642,-114.0154071
22,Michigan,43.6211955,-84.6824346
23,Montana,47.3752671,-109.6387579
24,North Dakota,47.6201461,-100.540737
25,West Virginia,38.4758406,-80.8408415
26,"Kitsap, WA",47.594502,-122.6474421
27,"Santa Cruz, CA",37.050096,-121.9905908
28,"Ventura, CA",53.3479495,-110.85733455084326
29,"Gwinnett, GA",33.9566869,-84.0227467
30,"Floyd, GA",34.2421984,-85.2229248
31,"Gregg, TX",32.4492408,-94.8532848
32,"Burlington, NJ",39.9325409,-74.7226665
33,"Passaic, NJ",41.0461864,-74.3177933
34,"Eagle, CO",39.6161124,-106.7172844
35,"Arapahoe, CO",39.6416781,-104.3628567
36,"Kane, IL",41.923434,-88.4248315
37,"Philadelphia, PA",39.9527237,-75.1635262
38,"Arlington, VA",38.8903961,-77.0841585
39,"Loudoun, VA",39.0984586,-77.6705008
40,"Pottawattamie, IA",41.3115686,-95.5331269
41,"Pima, AZ",32.1112624,-111.6546163
42,"Boone, IN",40.0459913,-86.4650842
43,"Pierce, WI",44.7186568,-92.3786114
44,"Weber, UT",41.2728039,-111.8860648
45,"Carver County, MN",44.807118,-93.7871792
46,"Collin County, TX",33.1609629,-96.6060984
47,"Jefferson Parish, LA",29.8502657,-90.1293894
48,"Spartanburg County, SC",34.937029,-81.9955954
49,"Berkshire County, MA",42.3999954,-73.2322639
50,"Douglas County, OR",39.3420437,-104.9468945
51,"Harford County, MD",39.548545,-76.3048991
